Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,49,0,1,0,0,0,0,0,50,0.02
5,2450,49,0,1,0,0,0,0,0,50,0.02
6,2450,49,0,1,0,0,0,0,0,50,0.02
7,2450,48,0,2,0,0,0,0,0,50,0.04
8,2450,48,0,2,0,0,0,0,0,50,0.04
9,2449,48,1,2,0,0,0,0,0,51,0.058823529411764705
10,2449,48,1,2,0,0,0,0,0,51,0.058823529411764705
11,2448,48,2,2,0,0,0,0,0,52,0.07692307692307693
12,2447,48,3,2,0,0,0,0,0,53,0.09433962264150944
13,2446,48,4,2,0,0,0,0,0,54,0.1111111111111111
14,2445,48,5,2,0,0,0,0,0,55,0.12727272727272726
15,2442,48,8,2,0,0,0,0,0,58,0.1724137931034483
16,2439,48,11,2,0,0,0,0,0,61,0.21311475409836064
17,2437,48,13,2,0,0,0,0,0,63,0.23809523809523808
18,2434,48,16,2,0,0,0,0,0,66,0.2727272727272727
19,2432,48,18,2,0,0,0,0,0,68,0.29411764705882354
20,2427,48,23,2,0,0,0,0,0,73,0.3424657534246575
21,2424,48,26,2,0,0,0,0,0,76,0.3684210526315789
22,2420,48,30,2,0,0,0,0,0,80,0.4
23,2418,48,32,2,0,0,0,0,0,82,0.4146341463414634
24,2412,48,38,2,0,0,0,0,0,88,0.45454545454545453
25,2407,48,43,2,0,0,0,0,0,93,0.4838709677419355
26,2405,48,45,2,0,0,0,0,0,95,0.49473684210526314
27,2399,48,51,2,0,0,0,0,0,101,0.5247524752475248
28,2395,48,55,2,0,0,0,0,0,105,0.5428571428571428
29,2391,48,59,2,0,0,0,0,0,109,0.5596330275229358
30,2382,48,68,2,0,0,0,0,0,118,0.5932203389830508
31,2378,48,72,2,0,0,0,0,0,122,0.6065573770491803
