Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,0,1,0,0,0,0,0
29,2450,49,0,1,0,0,0,0,0
30,2450,49,0,1,0,0,0,0,0
31,2450,49,0,1,0,0,0,0,0
32,2450,48,0,1,0,1,0,0,0
33,2450,48,0,1,0,1,0,0,0
34,2450,48,0,1,0,1,0,0,0
35,2450,48,0,1,0,1,0,0,0
36,2450,48,0,1,0,1,0,0,0
37,2450,48,0,1,0,1,0,0,0
38,2450,48,0,1,0,1,0,0,0
39,2450,47,0,1,0,2,0,0,0
40,2450,47,0,1,0,2,0,0,0
41,2450,47,0,1,0,2,0,0,0
42,2450,47,0,1,0,2,0,0,0
43,2450,47,0,1,0,2,0,0,0
44,2450,46,0,2,0,2,0,0,0
45,2450,46,0,2,0,2,0,0,0
46,2450,46,0,2,0,2,0,0,0
47,2450,46,0,2,0,2,0,0,0
48,2450,46,0,2,0,2,0,0,0
49,2450,46,0,2,0,2,0,0,0
50,2450,46,0,2,0,2,0,0,0
51,2450,46,0,2,0,2,0,0,0
52,2450,46,0,2,0,2,0,0,0
53,2450,46,0,2,0,2,0,0,0
54,2450,44,0,4,0,2,0,0,0
55,2450,44,0,4,0,2,0,0,0
56,2450,44,0,4,0,2,0,0,0
57,2450,44,0,4,0,2,0,0,0
58,2450,44,0,4,0,2,0,0,0
59,2450,44,0,4,0,2,0,0,0
60,2450,44,0,4,0,2,0,0,0
61,2450,44,0,4,0,2,0,0,0
62,2450,44,0,4,0,2,0,0,0
63,2450,44,0,4,0,2,0,0,0
64,2450,44,0,4,0,2,0,0,0
65,2450,43,1,4,0,2,0,0,0
66,2450,43,1,4,0,2,0,0,0
67,2450,43,1,4,0,2,0,0,0
68,2450,43,1,4,0,2,0,0,0
69,2450,43,1,4,0,2,0,0,0
70,2449,42,2,4,0,3,0,0,0
71,2448,42,3,4,0,3,0,0,0
72,2448,42,3,4,0,3,0,0,0
73,2447,42,4,4,0,3,0,0,0
74,2447,42,4,4,0,3,0,0,0
75,2444,42,7,4,0,3,0,0,0
76,2444,42,7,4,0,3,0,0,0
77,2440,42,11,4,0,3,0,0,0
78,2439,42,12,4,0,3,0,0,0
79,2436,42,15,4,0,3,0,0,0
80,2434,42,17,4,0,3,0,0,0
81,2431,42,20,4,0,3,0,0,0
82,2426,42,25,4,0,3,0,0,0
83,2423,42,28,4,0,3,0,0,0
84,2418,42,33,4,0,3,0,0,0
85,2415,42,36,4,0,3,0,0,0
86,2408,42,43,4,0,3,0,0,0
87,2403,42,48,4,0,3,0,0,0
88,2398,42,53,4,0,3,0,0,0
89,2394,42,57,4,0,3,0,0,0
90,2387,42,64,4,0,3,0,0,0
91,2380,41,71,5,0,3,0,0,0
92,2373,41,78,5,0,3,0,0,0
93,2367,41,84,5,0,3,0,0,0
94,2360,41,91,5,0,3,0,0,0
95,2352,41,99,5,0,3,0,0,0
96,2347,41,104,5,0,3,0,0,0
97,2337,41,114,5,0,3,0,0,0
98,2333,41,118,5,0,3,0,0,0
99,2322,41,129,5,0,3,0,0,0
100,2313,41,138,5,0,3,0,0,0
101,2303,41,148,5,0,3,0,0,0
102,2290,41,161,5,0,3,0,0,0
103,2284,41,167,5,0,3,0,0,0
104,2275,41,176,5,0,3,0,0,0
105,2265,41,186,5,0,3,0,0,0
106,2258,41,193,5,0,3,0,0,0
107,2246,41,205,5,0,3,0,0,0
108,2238,41,213,5,0,3,0,0,0
109,2228,41,223,5,0,3,0,0,0
110,2215,41,236,5,0,3,0,0,0
111,2203,41,248,5,0,3,0,0,0
112,2193,41,258,5,0,3,0,0,0
113,2181,41,270,5,0,3,0,0,0
114,2173,41,278,5,0,3,0,0,0
115,2161,41,290,5,0,3,0,0,0
116,2144,41,307,5,0,3,0,0,0
117,2135,41,316,5,0,3,0,0,0
118,2120,41,331,5,0,3,0,0,0
119,2108,41,343,5,0,3,0,0,0
120,2093,41,358,5,0,3,0,0,0
121,2086,41,365,5,0,3,0,0,0
122,2071,41,380,5,0,3,0,0,0
123,2064,41,387,5,0,3,0,0,0
124,2049,41,402,5,0,3,0,0,0
125,2044,41,407,5,0,3,0,0,0
126,2026,41,424,5,0,3,1,0,0
127,2018,41,432,5,0,3,1,0,0
128,2003,41,447,5,0,3,1,0,0
129,1999,41,451,5,0,3,1,0,0
130,1989,41,461,5,0,3,1,0,0
131,1984,41,466,5,0,3,1,0,0
132,1971,41,479,5,0,3,1,0,0
133,1963,41,487,5,0,3,1,0,0
134,1956,41,494,5,0,3,1,0,0
135,1943,41,507,5,0,3,1,0,0
136,1937,41,513,5,0,3,1,0,0
137,1931,41,519,5,0,3,1,0,0
138,1925,41,525,5,0,3,1,0,0
139,1915,41,535,5,0,3,1,0,0
140,1911,41,539,5,0,3,1,0,0
141,1907,41,543,5,0,3,1,0,0
142,1902,41,548,5,0,3,1,0,0
143,1896,41,554,5,0,3,1,0,0
144,1890,41,560,5,0,3,1,0,0
145,1884,41,566,5,0,3,1,0,0
146,1878,41,572,5,0,3,1,0,0
147,1878,41,572,5,0,3,1,0,0
148,1870,41,580,5,0,3,1,0,0
149,1868,41,582,5,0,3,1,0,0
150,1858,41,591,5,0,3,2,0,0
151,1855,41,594,5,0,3,2,0,0
152,1854,41,595,5,0,3,2,0,0
153,1849,41,600,5,0,3,2,0,0
154,1847,41,602,5,0,3,2,0,0
155,1839,41,610,5,0,3,2,0,0
156,1833,41,616,5,0,3,2,0,0
157,1835,41,614,5,0,3,2,0,0
158,1832,41,617,5,0,3,2,0,0
159,1829,41,620,5,0,3,2,0,0
160,1831,41,618,5,0,3,2,0,0
161,1824,41,625,5,0,3,2,0,0
162,1822,41,627,5,0,3,2,0,0
163,1820,41,629,5,0,3,2,0,0
164,1811,41,638,5,0,3,2,0,0
165,1803,41,646,5,0,3,2,0,0
166,1802,41,647,5,0,3,2,0,0
167,1798,41,651,5,0,3,2,0,0
168,1791,41,657,5,1,3,2,0,0
169,1790,41,658,5,1,3,2,0,0
170,1783,41,664,5,2,3,2,0,0
171,1784,41,663,5,2,3,2,0,0
172,1785,41,662,5,2,3,2,0,0
173,1780,41,666,5,3,3,2,0,0
174,1777,41,668,5,3,3,3,0,0
175,1776,41,668,5,4,3,3,0,0
176,1772,41,671,5,4,3,4,0,0
177,1769,41,673,4,6,3,4,0,0
178,1763,41,678,4,7,3,4,0,0
179,1762,41,678,4,8,3,4,0,0
180,1759,41,680,4,9,3,4,0,0
181,1755,41,682,4,11,3,4,0,0
182,1751,41,684,4,13,3,4,0,0
183,1747,41,686,4,15,3,4,0,0
184,1741,41,689,4,18,3,4,0,0
185,1739,41,688,4,21,3,4,0,0
186,1734,41,692,4,22,3,4,0,0
187,1734,41,689,4,25,3,4,0,0
188,1734,41,688,4,26,3,4,0,0
189,1724,41,695,4,28,3,5,0,0
190,1722,41,695,4,30,3,5,0,0
191,1724,41,690,4,33,3,5,0,0
192,1721,41,691,4,35,3,5,0,0
193,1717,41,692,4,38,3,5,0,0
194,1715,41,693,4,39,3,5,0,0
195,1714,41,691,4,42,3,5,0,0
196,1711,41,690,4,46,3,5,0,0
197,1707,41,689,4,50,3,6,0,0
198,1699,41,690,4,57,3,6,0,0
199,1694,41,695,4,57,3,6,0,0
200,1691,41,692,4,62,3,7,0,0
201,1689,41,690,4,66,3,7,0,0
202,1685,41,691,4,69,3,7,0,0
203,1680,41,693,4,72,3,7,0,0
204,1668,41,698,4,78,3,8,0,0
205,1668,41,700,4,76,3,8,0,0
206,1661,41,701,4,82,3,8,0,0
207,1651,41,701,4,92,3,8,0,0
208,1651,41,700,4,93,3,8,0,0
209,1643,41,701,4,100,3,8,0,0
210,1643,41,700,4,101,3,8,0,0
211,1643,41,696,4,105,3,8,0,0
212,1643,41,697,4,104,3,8,0,0
213,1644,41,693,4,107,3,8,0,0
