Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,50,0,0,0,0,0,0,0,50,0.0
5,2450,50,0,0,0,0,0,0,0,50,0.0
6,2450,50,0,0,0,0,0,0,0,50,0.0
7,2448,50,2,0,0,0,0,0,0,52,0.038461538461538464
8,2448,50,2,0,0,0,0,0,0,52,0.038461538461538464
9,2447,50,3,0,0,0,0,0,0,53,0.05660377358490566
10,2445,50,5,0,0,0,0,0,0,55,0.09090909090909091
11,2444,50,6,0,0,0,0,0,0,56,0.10714285714285714
12,2442,50,8,0,0,0,0,0,0,58,0.13793103448275862
13,2442,50,8,0,0,0,0,0,0,58,0.13793103448275862
14,2438,50,12,0,0,0,0,0,0,62,0.1935483870967742
15,2437,50,13,0,0,0,0,0,0,63,0.20634920634920634
16,2433,50,17,0,0,0,0,0,0,67,0.2537313432835821
17,2431,50,19,0,0,0,0,0,0,69,0.2753623188405797
18,2431,50,19,0,0,0,0,0,0,69,0.2753623188405797
19,2426,50,24,0,0,0,0,0,0,74,0.32432432432432434
20,2425,50,25,0,0,0,0,0,0,75,0.3333333333333333
21,2421,50,29,0,0,0,0,0,0,79,0.3670886075949367
22,2420,50,30,0,0,0,0,0,0,80,0.375
23,2416,50,34,0,0,0,0,0,0,84,0.40476190476190477
24,2415,50,35,0,0,0,0,0,0,85,0.4117647058823529
25,2412,50,38,0,0,0,0,0,0,88,0.4318181818181818
26,2410,49,41,0,0,0,0,0,0,90,0.45555555555555555
27,2407,49,44,0,0,0,0,0,0,93,0.4731182795698925
28,2402,49,49,0,0,0,0,0,0,98,0.5
29,2400,49,51,0,0,0,0,0,0,100,0.51
30,2392,49,59,0,0,0,0,0,0,108,0.5462962962962963
31,2391,49,60,0,0,0,0,0,0,109,0.5504587155963303
