Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,49,0,0,0,1,0,0,0,50,0.02
5,2450,49,0,0,0,1,0,0,0,50,0.02
6,2450,49,0,0,0,1,0,0,0,50,0.02
7,2450,48,0,0,0,2,0,0,0,50,0.04
8,2450,48,0,0,0,2,0,0,0,50,0.04
9,2449,48,1,0,0,2,0,0,0,51,0.058823529411764705
10,2449,48,1,0,0,2,0,0,0,51,0.058823529411764705
11,2448,48,2,0,0,2,0,0,0,52,0.07692307692307693
12,2447,48,3,0,0,2,0,0,0,53,0.09433962264150944
13,2446,48,4,0,0,2,0,0,0,54,0.1111111111111111
14,2445,48,5,0,0,2,0,0,0,55,0.12727272727272726
15,2442,48,8,0,0,2,0,0,0,58,0.1724137931034483
16,2439,48,11,0,0,2,0,0,0,61,0.21311475409836064
17,2437,48,13,0,0,2,0,0,0,63,0.23809523809523808
18,2434,48,16,0,0,2,0,0,0,66,0.2727272727272727
19,2432,48,18,0,0,2,0,0,0,68,0.29411764705882354
20,2427,48,23,0,0,2,0,0,0,73,0.3424657534246575
21,2423,48,27,0,0,2,0,0,0,77,0.37662337662337664
22,2420,48,30,0,0,2,0,0,0,80,0.4
23,2416,48,34,0,0,2,0,0,0,84,0.42857142857142855
24,2411,48,39,0,0,2,0,0,0,89,0.4606741573033708
25,2406,48,44,0,0,2,0,0,0,94,0.48936170212765956
26,2402,48,48,0,0,2,0,0,0,98,0.5102040816326531
27,2395,48,55,0,0,2,0,0,0,105,0.5428571428571428
28,2391,48,59,0,0,2,0,0,0,109,0.5596330275229358
29,2384,48,66,0,0,2,0,0,0,116,0.5862068965517241
30,2380,48,70,0,0,2,0,0,0,120,0.6
31,2372,48,78,0,0,2,0,0,0,128,0.625
32,2366,48,84,0,0,2,0,0,0,134,0.6417910447761194
