Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2451,49,0,0,0,0,0,0,0
12,2451,49,0,0,0,0,0,0,0
13,2451,49,0,0,0,0,0,0,0
14,2451,49,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2451,49,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2451,49,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2451,49,0,0,0,0,0,0,0
23,2451,49,0,0,0,0,0,0,0
24,2452,48,0,0,0,0,0,0,0
25,2451,49,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,50,0,0,0,0,0,0,0
29,2450,50,0,0,0,0,0,0,0
30,2450,50,0,0,0,0,0,0,0
31,2451,49,0,0,0,0,0,0,0
32,2451,49,0,0,0,0,0,0,0
33,2450,50,0,0,0,0,0,0,0
34,2450,50,0,0,0,0,0,0,0
35,2450,50,0,0,0,0,0,0,0
36,2451,49,0,0,0,0,0,0,0
37,2450,50,0,0,0,0,0,0,0
38,2450,50,0,0,0,0,0,0,0
39,2450,50,0,0,0,0,0,0,0
40,2450,49,1,0,0,0,0,0,0
41,2449,50,1,0,0,0,0,0,0
42,2448,50,2,0,0,0,0,0,0
43,2448,50,2,0,0,0,0,0,0
44,2446,50,4,0,0,0,0,0,0
45,2446,50,4,0,0,0,0,0,0
46,2442,50,8,0,0,0,0,0,0
47,2442,50,8,0,0,0,0,0,0
48,2437,50,13,0,0,0,0,0,0
49,2437,50,13,0,0,0,0,0,0
50,2433,50,17,0,0,0,0,0,0
51,2430,50,20,0,0,0,0,0,0
52,2426,50,24,0,0,0,0,0,0
53,2423,50,27,0,0,0,0,0,0
54,2417,49,34,0,0,0,0,0,0
55,2414,49,37,0,0,0,0,0,0
56,2408,49,43,0,0,0,0,0,0
57,2404,49,47,0,0,0,0,0,0
58,2398,49,53,0,0,0,0,0,0
59,2394,49,57,0,0,0,0,0,0
60,2389,49,62,0,0,0,0,0,0
61,2384,49,67,0,0,0,0,0,0
62,2375,49,76,0,0,0,0,0,0
63,2372,48,80,0,0,0,0,0,0
64,2363,48,89,0,0,0,0,0,0
65,2360,48,92,0,0,0,0,0,0
66,2353,48,99,0,0,0,0,0,0
67,2353,48,99,0,0,0,0,0,0
68,2339,48,113,0,0,0,0,0,0
69,2334,47,119,0,0,0,0,0,0
70,2319,46,135,0,0,0,0,0,0
71,2314,47,139,0,0,0,0,0,0
72,2292,47,161,0,0,0,0,0,0
73,2291,47,162,0,0,0,0,0,0
74,2279,46,174,1,0,0,0,0,0
75,2266,46,187,1,0,0,0,0,0
76,2257,46,196,1,0,0,0,0,0
77,2246,46,207,1,0,0,0,0,0
78,2230,46,223,1,0,0,0,0,0
79,2224,46,229,1,0,0,0,0,0
80,2213,46,240,1,0,0,0,0,0
81,2201,46,252,1,0,0,0,0,0
82,2196,46,257,1,0,0,0,0,0
83,2181,45,273,1,0,0,0,0,0
84,2164,45,290,1,0,0,0,0,0
85,2160,46,293,1,0,0,0,0,0
86,2151,46,302,1,0,0,0,0,0
87,2139,46,314,1,0,0,0,0,0
88,2125,46,328,1,0,0,0,0,0
89,2118,46,335,1,0,0,0,0,0
90,2117,45,337,1,0,0,0,0,0
91,2107,45,347,1,0,0,0,0,0
92,2101,45,353,1,0,0,0,0,0
93,2096,45,358,1,0,0,0,0,0
94,2087,45,367,1,0,0,0,0,0
95,2085,44,370,1,0,0,0,0,0
96,2070,44,385,1,0,0,0,0,0
97,2058,45,396,1,0,0,0,0,0
98,2056,44,399,1,0,0,0,0,0
99,2046,44,409,1,0,0,0,0,0
100,2035,43,421,1,0,0,0,0,0
101,2032,43,424,1,0,0,0,0,0
102,2035,43,421,1,0,0,0,0,0
103,2022,43,434,1,0,0,0,0,0
104,2019,43,437,1,0,0,0,0,0
105,2016,42,441,1,0,0,0,0,0
106,2014,42,443,1,0,0,0,0,0
107,2021,41,437,1,0,0,0,0,0
108,2019,41,439,1,0,0,0,0,0
109,2006,41,452,1,0,0,0,0,0
110,2004,40,455,1,0,0,0,0,0
111,2012,40,447,1,0,0,0,0,0
112,2005,39,455,1,0,0,0,0,0
113,1995,39,465,1,0,0,0,0,0
114,1995,39,464,1,0,0,1,0,0
115,1990,39,469,1,0,0,1,0,0
116,1979,38,481,1,0,0,1,0,0
117,1978,38,482,1,0,0,1,0,0
118,1988,37,473,1,0,0,1,0,0
119,1999,38,461,1,0,0,1,0,0
120,1980,38,480,1,0,0,1,0,0
121,1971,38,489,1,0,0,1,0,0
122,1981,38,479,1,0,0,1,0,0
123,1981,38,479,1,0,0,1,0,0
124,1970,38,490,1,0,0,1,0,0
125,1977,38,483,1,0,0,1,0,0
126,1968,38,492,1,0,0,1,0,0
127,1961,38,499,1,0,0,1,0,0
128,1973,37,488,1,0,0,1,0,0
129,1968,37,492,1,0,1,1,0,0
130,1976,36,485,1,0,1,1,0,0
131,1981,36,480,1,0,1,1,0,0
132,1983,36,478,1,0,1,1,0,0
133,1987,36,474,1,0,1,1,0,0
134,1988,36,473,1,0,1,1,0,0
135,1976,36,485,1,0,1,1,0,0
136,1965,36,496,1,0,1,1,0,0
137,1964,36,497,1,0,1,1,0,0
138,1963,35,498,1,0,1,2,0,0
139,1967,35,494,1,0,1,2,0,0
140,1972,34,489,1,0,1,3,0,0
141,1978,34,484,1,0,1,2,0,0
142,1992,33,470,1,0,1,3,0,0
143,1989,33,473,1,0,1,3,0,0
144,1979,34,481,1,0,1,4,0,0
145,1979,34,481,1,0,1,4,0,0
146,1976,34,484,1,0,1,4,0,0
147,1972,34,488,1,0,1,4,0,0
148,1971,33,489,1,1,1,4,0,0
149,1966,33,492,1,1,1,6,0,0
150,1958,33,500,1,1,1,6,0,0
151,1960,32,497,1,3,1,6,0,0
152,1971,31,487,1,3,1,6,0,0
153,1976,31,481,1,4,1,6,0,0
154,1981,29,477,1,4,1,7,0,0
155,1982,29,476,1,4,1,7,0,0
156,1976,29,481,1,5,1,7,0,0
157,1975,30,481,1,5,1,7,0,0
158,1976,30,480,1,5,1,7,0,0
159,1978,30,477,1,6,1,7,0,0
160,1985,30,469,1,6,1,8,0,0
161,1981,30,471,1,6,1,10,0,0
162,2003,28,453,1,6,1,8,0,0
163,2012,28,445,1,5,1,8,0,0
164,2001,29,455,1,5,1,8,0,0
165,1990,29,465,1,5,1,9,0,0
166,1992,30,461,1,3,1,12,0,0
167,2006,30,447,0,4,1,12,0,0
168,2002,28,452,0,5,1,12,0,0
169,2010,28,442,0,6,1,13,0,0
170,2013,27,439,0,7,1,13,0,0
171,2021,28,432,0,5,1,13,0,0
172,2021,28,431,0,6,1,13,0,0
173,1999,28,453,0,6,1,13,0,0
174,2006,28,444,0,9,1,12,0,0
175,2005,28,444,0,9,1,13,0,0
176,2023,28,426,0,9,1,13,0,0
177,2041,27,409,0,8,1,14,0,0
178,2042,27,404,0,9,1,17,0,0
179,2026,27,415,0,12,1,19,0,0
180,2033,27,409,0,11,1,19,0,0
181,2041,26,401,0,12,1,19,0,0
182,2040,26,402,0,12,1,19,0,0
183,2035,26,407,0,13,1,18,0,0
184,2041,25,402,0,13,1,18,0,0
185,2035,25,406,0,14,1,19,0,0
186,2022,24,419,0,14,1,20,0,0
187,2019,23,421,0,15,1,21,0,0
188,2027,22,416,0,14,1,20,0,0
189,2033,22,410,0,14,1,20,0,0
190,2029,22,412,0,14,1,22,0,0
191,2031,22,410,0,14,1,22,0,0
192,2042,22,399,0,14,1,22,0,0
193,2040,22,401,0,14,1,22,0,0
194,2043,22,396,0,16,1,22,0,0
195,2049,22,391,0,15,1,22,0,0
196,2044,22,394,0,16,1,23,0,0
197,2042,22,399,0,13,1,23,0,0
198,2049,22,387,0,16,1,25,0,0
199,2041,21,393,0,18,1,26,0,0
200,2054,20,383,0,15,1,27,0,0
201,2076,19,362,0,11,1,31,0,0
202,2077,19,359,0,13,1,31,0,0
203,2066,20,363,0,17,1,33,0,0
204,2062,20,366,0,16,1,35,0,0
205,2066,20,362,0,16,1,35,0,0
206,2063,19,365,0,17,1,35,0,0
207,2080,16,349,0,16,1,38,0,0
208,2084,16,342,0,18,1,39,0,0
209,2084,16,341,0,18,1,40,0,0
210,2090,16,338,0,15,1,40,0,0
211,2095,16,333,0,14,1,41,0,0
212,2085,16,342,0,15,1,41,0,0
213,2100,16,326,0,16,1,41,0,0
