Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2448,50,2,0,0,0,0,0,0
8,2448,50,2,0,0,0,0,0,0
9,2447,50,3,0,0,0,0,0,0
10,2445,50,5,0,0,0,0,0,0
11,2444,50,6,0,0,0,0,0,0
12,2442,50,8,0,0,0,0,0,0
13,2442,50,8,0,0,0,0,0,0
14,2438,50,12,0,0,0,0,0,0
15,2437,50,13,0,0,0,0,0,0
16,2434,50,16,0,0,0,0,0,0
17,2431,50,19,0,0,0,0,0,0
18,2431,50,19,0,0,0,0,0,0
19,2428,50,22,0,0,0,0,0,0
20,2424,50,26,0,0,0,0,0,0
21,2421,50,29,0,0,0,0,0,0
22,2418,50,32,0,0,0,0,0,0
23,2416,50,34,0,0,0,0,0,0
24,2414,50,36,0,0,0,0,0,0
25,2413,50,37,0,0,0,0,0,0
26,2408,50,42,0,0,0,0,0,0
27,2408,50,42,0,0,0,0,0,0
28,2403,50,47,0,0,0,0,0,0
29,2400,50,50,0,0,0,0,0,0
30,2396,50,54,0,0,0,0,0,0
31,2394,50,56,0,0,0,0,0,0
32,2389,50,61,0,0,0,0,0,0
33,2387,50,63,0,0,0,0,0,0
34,2383,50,67,0,0,0,0,0,0
35,2381,50,69,0,0,0,0,0,0
36,2374,50,76,0,0,0,0,0,0
37,2372,50,77,0,1,0,0,0,0
38,2367,50,82,0,1,0,0,0,0
39,2364,50,85,0,1,0,0,0,0
40,2361,50,88,0,1,0,0,0,0
41,2357,50,92,0,1,0,0,0,0
42,2350,50,99,0,1,0,0,0,0
43,2348,50,101,0,1,0,0,0,0
44,2342,50,107,0,1,0,0,0,0
45,2337,50,112,0,1,0,0,0,0
46,2328,50,121,0,1,0,0,0,0
47,2323,50,126,0,1,0,0,0,0
48,2313,50,136,0,1,0,0,0,0
49,2311,50,138,0,1,0,0,0,0
50,2303,50,146,0,1,0,0,0,0
51,2295,50,154,0,1,0,0,0,0
52,2286,50,163,0,1,0,0,0,0
53,2282,50,167,0,1,0,0,0,0
54,2271,50,178,0,1,0,0,0,0
55,2266,50,183,0,1,0,0,0,0
56,2256,50,193,0,1,0,0,0,0
57,2250,50,199,0,1,0,0,0,0
58,2243,50,206,0,1,0,0,0,0
59,2237,50,212,0,1,0,0,0,0
60,2226,50,223,0,1,0,0,0,0
61,2217,50,232,0,1,0,0,0,0
62,2208,50,241,0,1,0,0,0,0
63,2197,50,252,0,1,0,0,0,0
64,2190,50,259,0,1,0,0,0,0
65,2184,50,265,0,1,0,0,0,0
66,2173,50,276,0,1,0,0,0,0
67,2159,50,290,0,1,0,0,0,0
68,2152,50,297,0,1,0,0,0,0
69,2140,50,309,0,1,0,0,0,0
70,2129,50,320,0,1,0,0,0,0
71,2121,50,328,0,1,0,0,0,0
72,2111,50,338,0,1,0,0,0,0
73,2102,50,347,0,1,0,0,0,0
74,2091,50,358,0,1,0,0,0,0
75,2087,50,362,0,1,0,0,0,0
76,2079,50,370,0,1,0,0,0,0
77,2074,50,375,0,1,0,0,0,0
78,2067,50,381,0,2,0,0,0,0
79,2058,50,390,0,2,0,0,0,0
80,2052,50,396,0,2,0,0,0,0
81,2047,50,401,0,2,0,0,0,0
82,2044,50,404,0,2,0,0,0,0
83,2037,50,411,0,2,0,0,0,0
84,2032,50,416,0,2,0,0,0,0
85,2023,50,425,0,2,0,0,0,0
86,2016,50,432,0,2,0,0,0,0
87,2013,50,435,0,2,0,0,0,0
88,2005,50,443,0,2,0,0,0,0
89,2001,50,447,0,2,0,0,0,0
90,1995,50,453,0,2,0,0,0,0
91,1994,50,454,0,2,0,0,0,0
92,1990,50,458,0,2,0,0,0,0
93,1987,49,462,0,2,0,0,0,0
94,1985,49,464,0,2,0,0,0,0
95,1983,49,467,0,1,0,0,0,0
96,1977,49,473,0,1,0,0,0,0
97,1973,49,477,0,1,0,0,0,0
98,1968,49,481,0,2,0,0,0,0
99,1962,49,487,0,2,0,0,0,0
100,1961,49,488,0,2,0,0,0,0
101,1960,49,489,0,2,0,0,0,0
102,1960,49,489,0,2,0,0,0,0
103,1957,49,492,0,2,0,0,0,0
104,1958,49,491,0,2,0,0,0,0
105,1952,49,497,0,2,0,0,0,0
106,1948,49,501,0,2,0,0,0,0
107,1947,49,502,0,2,0,0,0,0
108,1949,49,500,0,2,0,0,0,0
109,1951,49,498,0,2,0,0,0,0
110,1943,49,505,0,3,0,0,0,0
111,1936,49,512,0,3,0,0,0,0
112,1931,49,517,0,3,0,0,0,0
113,1930,49,518,0,3,0,0,0,0
114,1925,49,523,0,3,0,0,0,0
115,1928,49,520,0,3,0,0,0,0
116,1927,49,521,0,3,0,0,0,0
117,1928,49,520,0,3,0,0,0,0
118,1926,49,521,0,4,0,0,0,0
119,1923,49,524,0,4,0,0,0,0
120,1922,49,525,0,4,0,0,0,0
121,1922,49,525,0,4,0,0,0,0
122,1921,49,526,0,4,0,0,0,0
123,1918,49,529,0,4,0,0,0,0
124,1918,49,529,0,4,0,0,0,0
125,1916,49,531,0,4,0,0,0,0
126,1913,49,534,0,4,0,0,0,0
127,1908,49,539,0,4,0,0,0,0
128,1913,49,534,0,4,0,0,0,0
129,1916,49,531,0,4,0,0,0,0
130,1914,49,533,0,4,0,0,0,0
131,1913,49,534,0,4,0,0,0,0
132,1919,49,528,0,4,0,0,0,0
133,1921,48,527,0,4,0,0,0,0
134,1921,48,527,0,4,0,0,0,0
135,1922,48,526,0,4,0,0,0,0
136,1927,48,521,0,4,0,0,0,0
137,1925,49,522,0,4,0,0,0,0
138,1925,49,522,0,4,0,0,0,0
139,1926,49,522,0,3,0,0,0,0
140,1923,49,525,0,3,0,0,0,0
141,1922,49,526,0,3,0,0,0,0
142,1920,49,528,0,3,0,0,0,0
143,1923,49,525,0,3,0,0,0,0
144,1920,49,528,0,3,0,0,0,0
145,1917,49,531,0,3,0,0,0,0
146,1918,49,530,0,3,0,0,0,0
147,1917,49,532,0,2,0,0,0,0
148,1920,49,528,0,3,0,0,0,0
149,1921,48,527,0,4,0,0,0,0
150,1919,48,528,0,5,0,0,0,0
151,1923,48,524,0,5,0,0,0,0
152,1926,48,521,0,5,0,0,0,0
153,1928,48,519,0,5,0,0,0,0
154,1927,48,520,0,5,0,0,0,0
155,1923,48,524,0,5,0,0,0,0
156,1923,48,524,0,5,0,0,0,0
157,1924,48,523,0,5,0,0,0,0
158,1926,48,521,0,5,0,0,0,0
159,1926,48,521,0,5,0,0,0,0
160,1927,48,520,0,5,0,0,0,0
161,1932,48,515,0,5,0,0,0,0
162,1935,48,512,0,5,0,0,0,0
163,1936,48,511,0,5,0,0,0,0
164,1939,48,509,0,4,0,0,0,0
165,1942,48,506,0,4,0,0,0,0
166,1942,48,506,0,4,0,0,0,0
167,1945,48,503,0,4,0,0,0,0
168,1950,48,498,0,4,0,0,0,0
169,1952,48,496,0,4,0,0,0,0
170,1948,48,500,0,4,0,0,0,0
171,1948,48,500,0,4,0,0,0,0
172,1947,48,501,0,4,0,0,0,0
173,1951,48,497,0,4,0,0,0,0
174,1953,48,495,0,4,0,0,0,0
175,1957,48,491,0,4,0,0,0,0
176,1956,48,492,0,4,0,0,0,0
177,1957,48,491,0,4,0,0,0,0
178,1961,48,487,0,4,0,0,0,0
179,1958,48,490,0,4,0,0,0,0
180,1955,48,493,0,4,0,0,0,0
181,1950,48,498,0,4,0,0,0,0
182,1953,48,495,0,4,0,0,0,0
183,1954,48,494,0,4,0,0,0,0
184,1951,48,497,0,4,0,0,0,0
185,1951,48,497,0,4,0,0,0,0
186,1948,48,500,0,4,0,0,0,0
187,1949,48,499,0,4,0,0,0,0
188,1951,48,498,0,3,0,0,0,0
189,1956,48,493,0,3,0,0,0,0
190,1958,48,490,0,3,0,1,0,0
191,1962,47,487,0,3,0,1,0,0
192,1960,47,489,0,3,0,1,0,0
193,1959,47,490,0,3,0,1,0,0
194,1964,47,485,0,3,0,1,0,0
195,1962,47,487,0,3,0,1,0,0
196,1958,47,491,0,3,0,1,0,0
197,1961,47,488,0,3,0,1,0,0
198,1959,47,490,0,3,0,1,0,0
199,1961,47,488,0,3,0,1,0,0
200,1961,47,488,0,3,0,1,0,0
201,1959,47,490,0,3,0,1,0,0
202,1958,47,491,0,3,0,1,0,0
203,1960,47,489,0,3,0,1,0,0
204,1958,47,491,0,3,0,1,0,0
205,1954,47,495,0,3,0,1,0,0
206,1951,47,499,0,2,0,1,0,0
207,1948,47,502,0,2,0,1,0,0
208,1944,47,505,0,3,0,1,0,0
209,1943,47,506,0,3,0,1,0,0
210,1946,47,503,0,3,0,1,0,0
211,1946,47,503,0,3,0,1,0,0
212,1946,47,504,0,2,0,1,0,0
213,1944,47,506,0,2,0,1,0,0
