Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2448,50,2,0,0,0,0,0,0
8,2448,50,2,0,0,0,0,0,0
9,2447,50,3,0,0,0,0,0,0
10,2445,50,5,0,0,0,0,0,0
11,2444,50,6,0,0,0,0,0,0
12,2442,50,8,0,0,0,0,0,0
13,2442,50,8,0,0,0,0,0,0
14,2438,50,12,0,0,0,0,0,0
15,2437,50,13,0,0,0,0,0,0
16,2433,50,17,0,0,0,0,0,0
17,2431,50,19,0,0,0,0,0,0
18,2431,50,19,0,0,0,0,0,0
19,2426,50,24,0,0,0,0,0,0
20,2425,50,25,0,0,0,0,0,0
21,2421,50,29,0,0,0,0,0,0
22,2420,50,30,0,0,0,0,0,0
23,2416,50,34,0,0,0,0,0,0
24,2415,50,35,0,0,0,0,0,0
25,2412,50,38,0,0,0,0,0,0
26,2410,49,41,0,0,0,0,0,0
27,2407,49,44,0,0,0,0,0,0
28,2402,49,49,0,0,0,0,0,0
29,2400,49,51,0,0,0,0,0,0
30,2397,49,54,0,0,0,0,0,0
31,2394,49,57,0,0,0,0,0,0
32,2388,49,63,0,0,0,0,0,0
33,2383,49,68,0,0,0,0,0,0
34,2378,49,73,0,0,0,0,0,0
35,2373,49,78,0,0,0,0,0,0
36,2367,49,84,0,0,0,0,0,0
37,2365,49,86,0,0,0,0,0,0
38,2357,49,94,0,0,0,0,0,0
39,2353,49,98,0,0,0,0,0,0
40,2347,49,104,0,0,0,0,0,0
41,2345,49,106,0,0,0,0,0,0
42,2338,49,113,0,0,0,0,0,0
43,2332,49,119,0,0,0,0,0,0
44,2326,49,125,0,0,0,0,0,0
45,2318,49,133,0,0,0,0,0,0
46,2314,49,137,0,0,0,0,0,0
47,2302,49,149,0,0,0,0,0,0
48,2297,49,154,0,0,0,0,0,0
49,2287,49,164,0,0,0,0,0,0
50,2281,49,170,0,0,0,0,0,0
51,2270,49,181,0,0,0,0,0,0
52,2261,49,190,0,0,0,0,0,0
53,2249,49,202,0,0,0,0,0,0
54,2244,49,207,0,0,0,0,0,0
55,2231,49,220,0,0,0,0,0,0
56,2222,49,229,0,0,0,0,0,0
57,2206,49,245,0,0,0,0,0,0
58,2199,49,252,0,0,0,0,0,0
59,2188,49,263,0,0,0,0,0,0
60,2175,49,276,0,0,0,0,0,0
61,2165,49,286,0,0,0,0,0,0
62,2156,49,295,0,0,0,0,0,0
63,2144,49,307,0,0,0,0,0,0
64,2133,49,318,0,0,0,0,0,0
65,2123,49,328,0,0,0,0,0,0
66,2114,49,337,0,0,0,0,0,0
67,2102,49,349,0,0,0,0,0,0
68,2092,49,359,0,0,0,0,0,0
69,2085,49,366,0,0,0,0,0,0
70,2076,49,375,0,0,0,0,0,0
71,2068,49,383,0,0,0,0,0,0
72,2060,49,391,0,0,0,0,0,0
73,2056,49,395,0,0,0,0,0,0
74,2049,49,402,0,0,0,0,0,0
75,2037,49,414,0,0,0,0,0,0
76,2030,49,421,0,0,0,0,0,0
77,2016,49,435,0,0,0,0,0,0
78,2007,49,444,0,0,0,0,0,0
79,1999,49,452,0,0,0,0,0,0
80,1993,49,458,0,0,0,0,0,0
81,1987,49,464,0,0,0,0,0,0
82,1978,49,473,0,0,0,0,0,0
83,1973,49,478,0,0,0,0,0,0
84,1962,49,489,0,0,0,0,0,0
85,1958,49,493,0,0,0,0,0,0
86,1951,49,500,0,0,0,0,0,0
87,1946,49,505,0,0,0,0,0,0
88,1943,49,508,0,0,0,0,0,0
89,1940,49,511,0,0,0,0,0,0
90,1936,49,515,0,0,0,0,0,0
91,1932,49,519,0,0,0,0,0,0
92,1927,49,524,0,0,0,0,0,0
93,1924,49,527,0,0,0,0,0,0
94,1917,49,534,0,0,0,0,0,0
95,1914,49,537,0,0,0,0,0,0
96,1913,49,538,0,0,0,0,0,0
97,1905,49,546,0,0,0,0,0,0
98,1900,49,551,0,0,0,0,0,0
99,1897,49,554,0,0,0,0,0,0
100,1898,49,553,0,0,0,0,0,0
101,1898,49,553,0,0,0,0,0,0
102,1901,49,550,0,0,0,0,0,0
103,1896,49,555,0,0,0,0,0,0
104,1899,49,552,0,0,0,0,0,0
105,1890,49,561,0,0,0,0,0,0
106,1890,49,561,0,0,0,0,0,0
107,1887,49,564,0,0,0,0,0,0
108,1886,49,565,0,0,0,0,0,0
109,1884,49,567,0,0,0,0,0,0
110,1882,49,569,0,0,0,0,0,0
111,1876,49,575,0,0,0,0,0,0
112,1872,49,579,0,0,0,0,0,0
113,1867,49,584,0,0,0,0,0,0
114,1867,49,584,0,0,0,0,0,0
115,1861,49,590,0,0,0,0,0,0
116,1860,49,591,0,0,0,0,0,0
117,1856,49,595,0,0,0,0,0,0
118,1855,49,596,0,0,0,0,0,0
119,1853,49,598,0,0,0,0,0,0
120,1851,49,600,0,0,0,0,0,0
121,1847,49,604,0,0,0,0,0,0
122,1846,49,605,0,0,0,0,0,0
123,1848,49,603,0,0,0,0,0,0
124,1847,49,604,0,0,0,0,0,0
125,1847,49,604,0,0,0,0,0,0
126,1844,49,607,0,0,0,0,0,0
127,1843,49,608,0,0,0,0,0,0
128,1844,49,607,0,0,0,0,0,0
129,1850,49,601,0,0,0,0,0,0
130,1848,49,603,0,0,0,0,0,0
131,1846,49,605,0,0,0,0,0,0
132,1840,49,611,0,0,0,0,0,0
133,1838,49,613,0,0,0,0,0,0
134,1838,49,613,0,0,0,0,0,0
135,1837,49,614,0,0,0,0,0,0
136,1840,49,611,0,0,0,0,0,0
137,1837,49,614,0,0,0,0,0,0
138,1838,49,613,0,0,0,0,0,0
139,1835,49,616,0,0,0,0,0,0
140,1829,49,622,0,0,0,0,0,0
141,1827,49,624,0,0,0,0,0,0
142,1826,49,625,0,0,0,0,0,0
143,1826,49,625,0,0,0,0,0,0
144,1827,49,624,0,0,0,0,0,0
145,1833,49,618,0,0,0,0,0,0
146,1833,49,618,0,0,0,0,0,0
147,1831,49,620,0,0,0,0,0,0
148,1827,49,624,0,0,0,0,0,0
149,1825,49,626,0,0,0,0,0,0
150,1825,49,626,0,0,0,0,0,0
151,1830,49,621,0,0,0,0,0,0
152,1831,49,620,0,0,0,0,0,0
153,1832,49,619,0,0,0,0,0,0
154,1835,49,616,0,0,0,0,0,0
155,1837,49,614,0,0,0,0,0,0
156,1838,49,613,0,0,0,0,0,0
157,1843,49,608,0,0,0,0,0,0
158,1839,49,612,0,0,0,0,0,0
159,1840,49,611,0,0,0,0,0,0
160,1834,49,617,0,0,0,0,0,0
161,1830,48,622,0,0,0,0,0,0
162,1828,48,624,0,0,0,0,0,0
163,1830,48,622,0,0,0,0,0,0
164,1835,48,617,0,0,0,0,0,0
165,1838,47,615,0,0,0,0,0,0
166,1838,47,615,0,0,0,0,0,0
167,1838,47,615,0,0,0,0,0,0
168,1839,47,614,0,0,0,0,0,0
169,1837,47,616,0,0,0,0,0,0
170,1838,47,615,0,0,0,0,0,0
171,1837,47,616,0,0,0,0,0,0
172,1841,48,611,0,0,0,0,0,0
173,1842,48,610,0,0,0,0,0,0
174,1843,48,609,0,0,0,0,0,0
175,1848,48,604,0,0,0,0,0,0
176,1848,48,604,0,0,0,0,0,0
177,1851,48,600,0,1,0,0,0,0
178,1846,48,605,0,1,0,0,0,0
179,1848,48,603,0,1,0,0,0,0
180,1850,48,601,0,1,0,0,0,0
181,1848,48,603,0,1,0,0,0,0
182,1847,48,604,0,1,0,0,0,0
183,1843,48,608,0,1,0,0,0,0
184,1841,48,610,0,1,0,0,0,0
185,1840,48,611,0,1,0,0,0,0
186,1837,48,614,0,1,0,0,0,0
187,1841,48,610,0,1,0,0,0,0
188,1843,47,609,0,1,0,0,0,0
189,1845,47,607,0,1,0,0,0,0
190,1842,47,610,0,1,0,0,0,0
191,1841,47,611,0,1,0,0,0,0
192,1841,47,610,0,2,0,0,0,0
193,1845,47,606,0,2,0,0,0,0
194,1847,47,604,0,2,0,0,0,0
195,1844,47,607,0,2,0,0,0,0
196,1843,47,608,0,2,0,0,0,0
197,1843,47,608,0,2,0,0,0,0
198,1843,47,608,0,2,0,0,0,0
199,1847,47,604,0,2,0,0,0,0
200,1853,47,598,0,2,0,0,0,0
201,1858,47,593,0,2,0,0,0,0
202,1858,47,593,0,2,0,0,0,0
203,1860,47,591,0,2,0,0,0,0
204,1860,47,591,0,2,0,0,0,0
205,1857,47,594,0,2,0,0,0,0
206,1858,47,593,0,2,0,0,0,0
207,1857,47,594,0,2,0,0,0,0
208,1864,47,587,0,2,0,0,0,0
209,1871,47,580,0,2,0,0,0,0
210,1871,47,580,0,2,0,0,0,0
211,1874,47,577,0,2,0,0,0,0
212,1875,47,576,0,2,0,0,0,0
213,1876,47,575,0,2,0,0,0,0
