Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
88,1998,46,454,1,0,1,0,0,0,502,0.9083665338645418
89,1997,46,455,1,0,1,0,0,0,503,0.9085487077534792
90,1995,45,458,1,0,1,0,0,0,505,0.9108910891089109
91,1991,45,462,1,0,1,0,0,0,509,0.9115913555992141
92,1986,45,467,1,0,1,0,0,0,514,0.9124513618677043
93,1983,45,470,1,0,1,0,0,0,517,0.9129593810444874
94,1977,45,476,1,0,1,0,0,0,523,0.9139579349904398
95,1971,45,481,2,0,1,0,0,0,529,0.9149338374291115
96,1970,45,482,2,0,1,0,0,0,530,0.9150943396226415
97,1965,46,486,2,0,1,0,0,0,535,0.914018691588785
98,1963,46,488,2,0,1,0,0,0,537,0.9143389199255121
99,1963,45,488,2,0,2,0,0,0,537,0.9162011173184358
100,1962,45,489,2,0,2,0,0,0,538,0.9163568773234201
101,1964,45,487,2,0,2,0,0,0,536,0.9160447761194029
102,1957,45,494,2,0,2,0,0,0,543,0.9171270718232044
103,1956,45,495,2,0,2,0,0,0,544,0.9172794117647058
104,1952,45,499,2,0,2,0,0,0,548,0.9178832116788321
105,1951,45,500,2,0,2,0,0,0,549,0.9180327868852459
106,1949,45,502,2,0,2,0,0,0,551,0.9183303085299456
107,1943,45,508,2,0,2,0,0,0,557,0.9192100538599641
108,1944,45,507,2,0,2,0,0,0,556,0.9190647482014388
109,1944,45,507,2,0,2,0,0,0,556,0.9190647482014388
110,1941,45,510,2,0,2,0,0,0,559,0.9194991055456172
111,1942,45,509,2,0,2,0,0,0,558,0.9193548387096774
112,1941,45,510,2,0,2,0,0,0,559,0.9194991055456172
113,1943,45,508,2,0,2,0,0,0,557,0.9192100538599641
114,1945,45,506,2,0,2,0,0,0,555,0.918918918918919
115,1944,45,507,2,0,2,0,0,0,556,0.9190647482014388
116,1938,45,513,2,0,2,0,0,0,562,0.9199288256227758
117,1936,45,515,2,0,2,0,0,0,564,0.9202127659574468
118,1937,45,514,2,0,2,0,0,0,563,0.9200710479573713
119,1938,45,513,2,0,2,0,0,0,562,0.9199288256227758
120,1935,45,516,2,0,2,0,0,0,565,0.9203539823008849
121,1932,45,519,2,0,2,0,0,0,568,0.920774647887324
122,1929,45,522,2,0,2,0,0,0,571,0.9211908931698775
123,1931,45,520,2,0,2,0,0,0,569,0.9209138840070299
124,1927,45,524,2,0,2,0,0,0,573,0.9214659685863874
125,1930,45,521,2,0,2,0,0,0,570,0.9210526315789473
126,1930,45,521,2,0,2,0,0,0,570,0.9210526315789473
127,1929,45,522,2,0,2,0,0,0,571,0.9211908931698775
128,1930,45,521,2,0,2,0,0,0,570,0.9210526315789473
129,1928,45,523,2,0,2,0,0,0,572,0.9213286713286714
130,1928,45,523,2,0,2,0,0,0,572,0.9213286713286714
131,1926,45,525,2,0,2,0,0,0,574,0.921602787456446
132,1925,45,526,2,0,2,0,0,0,575,0.9217391304347826
133,1929,45,522,2,0,2,0,0,0,571,0.9211908931698775
134,1931,45,520,2,0,2,0,0,0,569,0.9209138840070299
135,1933,45,518,2,0,2,0,0,0,567,0.9206349206349206
136,1930,45,521,2,0,2,0,0,0,570,0.9210526315789473
137,1926,45,525,2,0,2,0,0,0,574,0.921602787456446
138,1929,45,523,1,0,2,0,0,0,571,0.9211908931698775
139,1932,45,520,1,0,2,0,0,0,568,0.920774647887324
140,1930,45,521,1,1,2,0,0,0,570,0.9210526315789473
141,1930,45,521,1,1,2,0,0,0,570,0.9210526315789473
142,1929,45,522,1,1,2,0,0,0,571,0.9211908931698775
143,1928,45,522,1,2,2,0,0,0,572,0.9213286713286714
144,1932,45,518,1,2,2,0,0,0,568,0.920774647887324
145,1931,45,519,1,2,2,0,0,0,569,0.9209138840070299
146,1935,45,515,1,2,2,0,0,0,565,0.9203539823008849
147,1937,45,514,1,1,2,0,0,0,563,0.9200710479573713
148,1933,45,518,1,1,2,0,0,0,567,0.9206349206349206
149,1935,45,516,1,1,2,0,0,0,565,0.9203539823008849
150,1936,45,515,1,1,2,0,0,0,564,0.9202127659574468
151,1938,45,513,1,1,2,0,0,0,562,0.9199288256227758
152,1936,45,515,1,1,2,0,0,0,564,0.9202127659574468
153,1933,45,518,1,1,2,0,0,0,567,0.9206349206349206
154,1939,45,511,1,2,2,0,0,0,561,0.9197860962566845
155,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
156,1934,45,516,1,2,2,0,0,0,566,0.9204946996466431
157,1932,45,518,1,2,2,0,0,0,568,0.920774647887324
158,1934,45,516,1,2,2,0,0,0,566,0.9204946996466431
159,1934,45,516,1,2,2,0,0,0,566,0.9204946996466431
160,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
161,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
162,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
163,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
164,1941,45,509,1,2,2,0,0,0,559,0.9194991055456172
165,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
166,1944,45,506,1,2,2,0,0,0,556,0.9190647482014388
167,1940,45,510,1,2,2,0,0,0,560,0.9196428571428571
168,1938,45,512,1,2,2,0,0,0,562,0.9199288256227758
169,1939,45,511,1,2,2,0,0,0,561,0.9197860962566845
170,1939,45,511,1,2,2,0,0,0,561,0.9197860962566845
171,1945,45,505,1,2,2,0,0,0,555,0.918918918918919
172,1952,45,498,1,2,2,0,0,0,548,0.9178832116788321
