Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2449,50,1,0,0,0,0,0,0
10,2449,50,1,0,0,0,0,0,0
11,2448,50,2,0,0,0,0,0,0
12,2448,50,2,0,0,0,0,0,0
13,2447,49,4,0,0,0,0,0,0
14,2446,49,5,0,0,0,0,0,0
15,2442,49,9,0,0,0,0,0,0
16,2440,50,10,0,0,0,0,0,0
17,2435,50,15,0,0,0,0,0,0
18,2434,50,16,0,0,0,0,0,0
19,2432,49,19,0,0,0,0,0,0
20,2425,50,25,0,0,0,0,0,0
21,2419,50,31,0,0,0,0,0,0
22,2415,48,37,0,0,0,0,0,0
23,2406,49,45,0,0,0,0,0,0
24,2399,49,52,0,0,0,0,0,0
25,2394,48,57,1,0,0,0,0,0
26,2383,48,68,1,0,0,0,0,0
27,2375,48,76,1,0,0,0,0,0
28,2365,48,86,1,0,0,0,0,0
29,2361,48,90,1,0,0,0,0,0
30,2349,48,102,1,0,0,0,0,0
31,2341,47,110,2,0,0,0,0,0
32,2331,46,120,3,0,0,0,0,0
33,2321,46,130,3,0,0,0,0,0
34,2309,46,142,3,0,0,0,0,0
35,2300,46,151,3,0,0,0,0,0
36,2288,45,164,3,0,0,0,0,0
37,2277,45,175,3,0,0,0,0,0
38,2270,45,182,3,0,0,0,0,0
39,2256,45,196,3,0,0,0,0,0
40,2249,45,203,3,0,0,0,0,0
41,2242,45,210,3,0,0,0,0,0
42,2230,45,222,3,0,0,0,0,0
43,2214,44,239,3,0,0,0,0,0
44,2206,44,247,3,0,0,0,0,0
45,2198,45,254,3,0,0,0,0,0
46,2181,45,271,3,0,0,0,0,0
47,2175,44,278,3,0,0,0,0,0
48,2161,44,292,3,0,0,0,0,0
49,2154,43,300,3,0,0,0,0,0
50,2150,43,304,3,0,0,0,0,0
51,2147,43,307,3,0,0,0,0,0
52,2142,43,312,3,0,0,0,0,0
53,2135,42,320,3,0,0,0,0,0
54,2124,42,331,3,0,0,0,0,0
55,2115,42,340,3,0,0,0,0,0
56,2110,42,345,3,0,0,0,0,0
57,2100,42,355,3,0,0,0,0,0
58,2095,41,361,3,0,0,0,0,0
59,2086,41,370,3,0,0,0,0,0
60,2078,41,378,3,0,0,0,0,0
61,2069,41,387,3,0,0,0,0,0
62,2077,40,380,3,0,0,0,0,0
63,2076,40,381,3,0,0,0,0,0
64,2061,40,396,3,0,0,0,0,0
65,2058,40,399,3,0,0,0,0,0
66,2053,40,404,3,0,0,0,0,0
67,2048,40,409,3,0,0,0,0,0
68,2044,39,414,3,0,0,0,0,0
69,2055,39,403,3,0,0,0,0,0
70,2041,36,420,3,0,0,0,0,0
71,2030,36,431,3,0,0,0,0,0
72,2024,36,437,3,0,0,0,0,0
73,2024,34,439,3,0,0,0,0,0
74,2021,34,442,3,0,0,0,0,0
75,2013,35,449,3,0,0,0,0,0
76,2013,35,449,3,0,0,0,0,0
77,2017,35,445,3,0,0,0,0,0
78,2026,35,436,3,0,0,0,0,0
79,2015,35,447,3,0,0,0,0,0
80,2014,35,448,3,0,0,0,0,0
81,2016,35,446,3,0,0,0,0,0
82,2012,35,450,3,0,0,0,0,0
83,2006,35,456,3,0,0,0,0,0
84,2013,35,449,3,0,0,0,0,0
85,2009,35,453,3,0,0,0,0,0
86,2011,35,451,3,0,0,0,0,0
87,2026,34,437,3,0,0,0,0,0
88,2023,34,440,3,0,0,0,0,0
89,2018,32,447,3,0,0,0,0,0
90,2012,32,453,3,0,0,0,0,0
91,2016,32,449,3,0,0,0,0,0
92,2000,32,465,3,0,0,0,0,0
93,2010,32,455,3,0,0,0,0,0
94,2011,32,454,3,0,0,0,0,0
95,2012,32,453,3,0,0,0,0,0
96,2022,32,442,3,1,0,0,0,0
97,2023,32,441,3,1,0,0,0,0
98,2013,31,452,3,1,0,0,0,0
99,2017,31,448,3,1,0,0,0,0
100,2017,31,448,3,1,0,0,0,0
101,2021,30,445,3,1,0,0,0,0
102,2010,30,456,3,1,0,0,0,0
103,2015,30,451,3,1,0,0,0,0
104,2003,30,463,3,1,0,0,0,0
105,2009,30,457,3,1,0,0,0,0
106,2009,30,457,3,1,0,0,0,0
107,2016,30,450,3,1,0,0,0,0
108,2038,30,428,3,1,0,0,0,0
109,2033,30,433,3,1,0,0,0,0
110,2032,30,434,3,1,0,0,0,0
111,2042,30,425,2,1,0,0,0,0
112,2029,28,440,2,1,0,0,0,0
113,2033,27,437,2,1,0,0,0,0
114,2029,28,439,2,1,0,1,0,0
115,2026,28,442,2,1,0,1,0,0
116,2033,29,434,2,1,0,1,0,0
117,2041,29,425,2,1,0,2,0,0
118,2032,28,434,2,2,0,2,0,0
119,2028,28,437,2,2,0,3,0,0
120,2029,27,437,2,2,0,3,0,0
121,2024,26,443,2,2,0,3,0,0
122,2031,26,435,1,3,0,3,1,0
123,2030,26,435,1,3,0,4,1,0
124,2026,25,438,1,3,0,6,1,0
125,2045,25,420,1,2,0,6,1,0
126,2034,24,432,1,2,0,6,1,0
127,2037,23,429,1,2,0,7,1,0
128,2047,22,420,1,2,0,7,1,0
129,2057,22,409,1,2,0,8,1,0
130,2073,22,393,1,1,0,9,1,0
131,2062,22,404,1,1,0,9,1,0
132,2071,22,395,1,1,0,9,1,0
133,2068,21,399,1,1,0,9,1,0
134,2074,22,392,1,0,0,10,1,0
135,2061,22,404,1,0,0,11,1,0
136,2047,22,418,1,0,0,11,1,0
137,2050,21,414,1,0,0,13,1,0
138,2064,21,401,1,0,0,12,1,0
139,2062,20,403,1,0,0,13,1,0
140,2053,21,410,1,0,0,14,1,0
141,2049,21,413,1,0,0,15,1,0
142,2054,21,407,1,0,0,16,1,0
143,2047,21,412,1,0,0,18,1,0
144,2050,20,408,1,0,0,20,1,0
145,2065,20,393,1,0,0,20,1,0
146,2082,20,377,1,0,0,19,1,0
147,2081,20,375,1,0,0,22,1,0
148,2085,20,370,1,0,0,23,1,0
149,2075,19,380,1,0,0,24,1,0
150,2081,19,372,1,0,0,26,1,0
151,2083,18,370,1,0,0,27,1,0
152,2076,18,375,1,0,0,29,1,0
153,2078,18,372,1,0,0,30,1,0
154,2070,18,378,1,0,0,32,1,0
155,2071,16,375,1,0,0,36,1,0
156,2070,16,375,1,0,0,37,1,0
157,2084,17,360,1,0,0,37,1,0
158,2080,17,361,1,0,0,40,1,0
159,2074,17,366,1,0,0,41,1,0
160,2081,17,357,1,0,0,43,1,0
161,2089,17,348,1,0,0,44,1,0
162,2093,16,344,1,0,0,45,1,0
163,2101,16,335,1,0,0,46,1,0
164,2097,16,337,1,0,0,48,1,0
165,2087,16,344,1,0,0,51,1,0
166,2085,16,343,1,0,0,54,1,0
167,2085,16,340,1,0,0,57,1,0
168,2092,16,334,1,0,0,56,1,0
169,2099,15,327,1,0,0,57,1,0
170,2104,15,316,1,0,0,63,1,0
171,2100,15,318,1,1,0,64,1,0
172,2097,15,316,1,1,0,69,1,0
173,2093,15,321,1,1,0,68,1,0
174,2094,15,317,1,1,0,71,1,0
175,2107,14,302,1,1,0,74,1,0
176,2100,14,299,1,0,0,85,1,0
177,2098,13,299,1,0,0,88,1,0
178,2079,12,316,1,0,0,91,1,0
179,2089,12,307,1,0,0,90,1,0
180,2087,12,307,1,0,0,92,1,0
181,2084,12,308,1,0,0,94,1,0
182,2090,12,300,1,0,0,96,1,0
183,2078,12,314,1,0,0,94,1,0
184,2091,10,303,2,0,0,93,1,0
185,2082,10,311,2,0,0,94,1,0
186,2083,10,303,2,0,0,101,1,0
187,2081,10,299,2,0,0,107,1,0
188,2081,10,298,2,0,0,108,1,0
189,2087,10,287,2,0,0,113,1,0
190,2088,10,284,2,0,0,115,1,0
191,2101,10,268,2,0,0,118,1,0
192,2106,10,261,2,0,0,120,1,0
193,2098,10,265,2,0,0,124,1,0
194,2099,9,262,2,0,0,127,1,0
195,2099,9,260,2,0,0,129,1,0
196,2096,10,257,2,0,0,134,1,0
197,2094,10,256,2,0,0,137,1,0
198,2102,10,244,1,0,0,142,1,0
199,2108,10,238,1,0,0,142,1,0
200,2102,9,240,1,0,0,147,1,0
201,2101,9,238,1,0,0,150,1,0
202,2093,8,244,1,0,0,153,1,0
203,2089,8,241,1,0,0,160,1,0
204,2081,8,244,1,0,0,165,1,0
205,2081,8,244,1,0,0,165,1,0
206,2079,8,238,1,0,0,173,1,0
207,2091,8,226,1,0,0,173,1,0
208,2088,8,222,1,0,0,180,1,0
209,2097,8,206,1,0,0,187,1,0
210,2097,8,205,1,0,0,188,1,0
211,2099,8,197,1,0,0,194,1,0
212,2102,9,190,1,0,0,197,1,0
213,2099,9,193,1,0,0,197,1,0
