Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,50,0,0,0,0,0,0,0,50,0.0
5,2450,50,0,0,0,0,0,0,0,50,0.0
6,2450,50,0,0,0,0,0,0,0,50,0.0
7,2450,50,0,0,0,0,0,0,0,50,0.0
8,2450,50,0,0,0,0,0,0,0,50,0.0
9,2449,50,1,0,0,0,0,0,0,51,0.0196078431372549
10,2449,50,1,0,0,0,0,0,0,51,0.0196078431372549
11,2448,50,2,0,0,0,0,0,0,52,0.038461538461538464
12,2448,50,2,0,0,0,0,0,0,52,0.038461538461538464
13,2447,49,4,0,0,0,0,0,0,53,0.07547169811320754
14,2446,49,5,0,0,0,0,0,0,54,0.09259259259259259
15,2442,49,9,0,0,0,0,0,0,58,0.15517241379310345
16,2440,50,10,0,0,0,0,0,0,60,0.16666666666666666
17,2435,50,15,0,0,0,0,0,0,65,0.23076923076923078
18,2434,50,16,0,0,0,0,0,0,66,0.24242424242424243
19,2432,49,19,0,0,0,0,0,0,68,0.27941176470588236
20,2425,50,25,0,0,0,0,0,0,75,0.3333333333333333
21,2419,50,31,0,0,0,0,0,0,81,0.38271604938271603
22,2415,48,37,0,0,0,0,0,0,85,0.43529411764705883
23,2406,49,45,0,0,0,0,0,0,94,0.4787234042553192
24,2399,49,52,0,0,0,0,0,0,101,0.5148514851485149
25,2394,48,57,1,0,0,0,0,0,106,0.5471698113207547
26,2383,48,68,1,0,0,0,0,0,117,0.5897435897435898
27,2375,48,76,1,0,0,0,0,0,125,0.616
28,2365,48,86,1,0,0,0,0,0,135,0.6444444444444445
29,2361,48,90,1,0,0,0,0,0,139,0.6546762589928058
30,2349,48,102,1,0,0,0,0,0,151,0.6821192052980133
31,2341,47,110,2,0,0,0,0,0,159,0.7044025157232704
