Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,49,0,1,0,0,0,0,0,50,0.02
3,2450,49,0,1,0,0,0,0,0,50,0.02
4,2450,49,0,1,0,0,0,0,0,50,0.02
5,2450,49,0,1,0,0,0,0,0,50,0.02
6,2450,49,0,1,0,0,0,0,0,50,0.02
7,2450,49,0,1,0,0,0,0,0,50,0.02
8,2450,49,0,1,0,0,0,0,0,50,0.02
9,2450,49,0,1,0,0,0,0,0,50,0.02
10,2450,49,0,1,0,0,0,0,0,50,0.02
11,2450,49,0,1,0,0,0,0,0,50,0.02
12,2450,49,0,1,0,0,0,0,0,50,0.02
13,2450,49,0,1,0,0,0,0,0,50,0.02
14,2450,49,0,1,0,0,0,0,0,50,0.02
15,2450,49,0,1,0,0,0,0,0,50,0.02
16,2450,49,0,1,0,0,0,0,0,50,0.02
17,2450,49,0,1,0,0,0,0,0,50,0.02
18,2450,49,0,1,0,0,0,0,0,50,0.02
19,2450,49,0,1,0,0,0,0,0,50,0.02
20,2450,49,0,1,0,0,0,0,0,50,0.02
21,2450,49,0,1,0,0,0,0,0,50,0.02
22,2450,49,0,1,0,0,0,0,0,50,0.02
23,2450,49,0,1,0,0,0,0,0,50,0.02
24,2450,49,0,1,0,0,0,0,0,50,0.02
25,2450,49,0,1,0,0,0,0,0,50,0.02
26,2450,49,0,1,0,0,0,0,0,50,0.02
27,2450,49,0,1,0,0,0,0,0,50,0.02
28,2450,49,0,1,0,0,0,0,0,50,0.02
29,2450,49,0,1,0,0,0,0,0,50,0.02
30,2450,49,0,1,0,0,0,0,0,50,0.02
31,2450,49,0,1,0,0,0,0,0,50,0.02
32,2450,49,0,1,0,0,0,0,0,50,0.02
33,2450,49,0,1,0,0,0,0,0,50,0.02
34,2450,49,0,1,0,0,0,0,0,50,0.02
35,2450,49,0,1,0,0,0,0,0,50,0.02
36,2450,49,0,1,0,0,0,0,0,50,0.02
