Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
88,1871,47,576,2,2,0,2,0,0,629,0.9252782193958664
89,1866,47,581,2,2,0,2,0,0,634,0.9258675078864353
90,1865,47,582,2,2,0,2,0,0,635,0.925984251968504
91,1866,47,580,2,3,0,2,0,0,634,0.9258675078864353
92,1855,47,591,2,3,0,2,0,0,645,0.9271317829457364
93,1845,47,601,2,3,0,2,0,0,655,0.9282442748091603
94,1837,47,609,2,3,0,2,0,0,663,0.9291101055806938
95,1833,47,612,2,4,0,2,0,0,667,0.9295352323838081
96,1829,47,616,2,4,0,2,0,0,671,0.9299552906110283
97,1825,47,620,2,4,0,2,0,0,675,0.9303703703703704
98,1818,47,626,2,5,0,2,0,0,682,0.9310850439882697
99,1815,47,629,2,5,0,2,0,0,685,0.9313868613138686
100,1811,47,631,2,7,0,2,0,0,689,0.9317851959361393
101,1809,47,633,2,7,0,2,0,0,691,0.9319826338639653
102,1805,47,636,2,8,0,2,0,0,695,0.9323741007194245
103,1798,47,643,2,8,0,2,0,0,702,0.9330484330484331
104,1791,47,647,2,11,0,2,0,0,709,0.9337094499294781
105,1792,47,646,2,11,0,2,0,0,708,0.9336158192090396
106,1790,47,647,2,12,0,2,0,0,710,0.9338028169014084
107,1783,47,652,2,13,0,3,0,0,717,0.9344490934449093
108,1782,47,654,2,12,0,3,0,0,718,0.9345403899721448
109,1779,47,656,2,13,0,3,0,0,721,0.9348127600554785
110,1771,47,662,2,15,0,3,0,0,729,0.9355281207133059
111,1769,47,664,2,15,0,3,0,0,731,0.9357045143638851
112,1760,47,670,2,18,0,3,0,0,740,0.9364864864864865
113,1760,47,669,2,19,0,3,0,0,740,0.9364864864864865
114,1757,47,669,2,22,0,3,0,0,743,0.9367429340511441
115,1751,47,674,2,23,0,3,0,0,749,0.9372496662216289
116,1742,47,680,2,26,0,3,0,0,758,0.9379947229551451
117,1743,47,678,2,27,0,3,0,0,757,0.9379128137384413
118,1736,47,682,2,30,0,3,0,0,764,0.9384816753926701
119,1733,47,685,2,30,0,3,0,0,767,0.9387222946544981
120,1725,47,690,2,33,0,3,0,0,775,0.9393548387096774
121,1718,47,695,2,35,0,3,0,0,782,0.9398976982097187
122,1720,47,691,2,37,0,3,0,0,780,0.9397435897435897
123,1716,47,692,2,40,0,3,0,0,784,0.9400510204081632
124,1707,47,698,2,43,0,3,0,0,793,0.9407313997477932
125,1696,47,710,2,42,0,3,0,0,804,0.9415422885572139
126,1693,47,710,2,45,0,3,0,0,807,0.9417596034696406
127,1692,47,708,2,48,0,3,0,0,808,0.9418316831683168
128,1691,47,708,2,49,0,3,0,0,809,0.9419035846724351
129,1688,47,708,2,52,0,3,0,0,812,0.9421182266009852
130,1687,47,706,2,55,0,3,0,0,813,0.942189421894219
131,1680,47,710,2,58,0,3,0,0,820,0.9426829268292682
132,1674,47,714,2,60,0,3,0,0,826,0.9430992736077481
133,1664,47,714,2,70,0,3,0,0,836,0.94377990430622
134,1666,47,711,2,71,0,3,0,0,834,0.9436450839328537
135,1666,47,706,2,76,0,3,0,0,834,0.9436450839328537
136,1664,47,707,2,77,0,3,0,0,836,0.94377990430622
137,1655,47,710,2,83,0,3,0,0,845,0.9443786982248521
138,1650,47,712,2,86,0,3,0,0,850,0.9447058823529412
139,1644,47,714,2,90,0,3,0,0,856,0.9450934579439252
