Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
105,2073,48,377,0,0,2,0,0,0,427,0.8875878220140515
106,2067,48,383,0,0,2,0,0,0,433,0.8891454965357968
107,2058,48,392,0,0,2,0,0,0,442,0.8914027149321267
108,2049,48,401,0,0,2,0,0,0,451,0.893569844789357
109,2040,48,410,0,0,2,0,0,0,460,0.8956521739130435
110,2029,48,421,0,0,2,0,0,0,471,0.8980891719745223
111,2023,48,427,0,0,2,0,0,0,477,0.89937106918239
112,2013,48,437,0,0,2,0,0,0,487,0.9014373716632443
113,2013,48,437,0,0,2,0,0,0,487,0.9014373716632443
114,2003,48,447,0,0,2,0,0,0,497,0.903420523138833
115,1993,47,458,0,0,2,0,0,0,507,0.9072978303747534
116,1985,47,466,0,0,2,0,0,0,515,0.9087378640776699
117,1981,47,470,0,0,2,0,0,0,519,0.9094412331406551
118,1973,47,478,0,0,2,0,0,0,527,0.9108159392789373
119,1962,47,489,0,0,2,0,0,0,538,0.912639405204461
120,1956,47,495,0,0,2,0,0,0,544,0.9136029411764706
121,1943,47,508,0,0,2,0,0,0,557,0.9156193895870736
122,1941,47,510,0,0,2,0,0,0,559,0.9159212880143113
123,1933,47,518,0,0,2,0,0,0,567,0.9171075837742504
124,1922,47,529,0,0,2,0,0,0,578,0.9186851211072664
125,1913,47,538,0,0,2,0,0,0,587,0.919931856899489
126,1905,47,546,0,0,2,0,0,0,595,0.9210084033613445
127,1897,47,554,0,0,2,0,0,0,603,0.9220563847429519
128,1889,47,562,0,0,2,0,0,0,611,0.9230769230769231
129,1875,47,576,0,0,2,0,0,0,625,0.9248
130,1868,47,583,0,0,2,0,0,0,632,0.9256329113924051
131,1856,47,595,0,0,2,0,0,0,644,0.9270186335403726
132,1847,47,604,0,0,2,0,0,0,653,0.9280245022970903
133,1839,47,612,0,0,2,0,0,0,661,0.9288956127080181
134,1836,47,615,0,0,2,0,0,0,664,0.9292168674698795
135,1827,47,624,0,0,2,0,0,0,673,0.9301634472511144
136,1823,47,628,0,0,2,0,0,0,677,0.930576070901034
137,1814,47,637,0,0,2,0,0,0,686,0.9314868804664723
138,1816,47,635,0,0,2,0,0,0,684,0.9312865497076024
139,1807,47,644,0,0,2,0,0,0,693,0.9321789321789322
140,1803,47,647,0,0,2,1,0,0,697,0.9325681492109039
141,1791,47,659,0,0,2,1,0,0,709,0.9337094499294781
142,1789,47,661,0,0,2,1,0,0,711,0.9338959212376934
143,1780,47,670,0,0,2,1,0,0,720,0.9347222222222222
144,1776,47,674,0,0,2,1,0,0,724,0.9350828729281768
145,1772,47,678,0,0,2,1,0,0,728,0.9354395604395604
146,1766,47,684,0,0,2,1,0,0,734,0.9359673024523161
147,1762,47,688,0,0,2,1,0,0,738,0.9363143631436315
148,1761,47,689,0,0,2,1,0,0,739,0.9364005412719891
149,1757,47,693,0,0,2,1,0,0,743,0.9367429340511441
150,1757,47,693,0,0,2,1,0,0,743,0.9367429340511441
151,1750,47,700,0,0,2,1,0,0,750,0.9373333333333334
152,1746,47,704,0,0,2,1,0,0,754,0.9376657824933687
153,1734,47,716,0,0,2,1,0,0,766,0.9386422976501305
