Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,0,1,0,0,0,0,0
29,2450,49,0,1,0,0,0,0,0
30,2450,49,0,1,0,0,0,0,0
31,2450,49,0,1,0,0,0,0,0
32,2450,48,1,1,0,0,0,0,0
33,2450,48,1,1,0,0,0,0,0
34,2449,48,2,1,0,0,0,0,0
35,2448,48,3,1,0,0,0,0,0
36,2447,48,4,1,0,0,0,0,0
37,2447,48,4,1,0,0,0,0,0
38,2444,48,7,1,0,0,0,0,0
39,2444,48,7,1,0,0,0,0,0
40,2440,48,11,1,0,0,0,0,0
41,2438,48,13,1,0,0,0,0,0
42,2435,48,16,1,0,0,0,0,0
43,2433,47,18,2,0,0,0,0,0
44,2428,47,23,2,0,0,0,0,0
45,2424,47,27,2,0,0,0,0,0
46,2419,47,32,2,0,0,0,0,0
47,2413,47,38,2,0,0,0,0,0
48,2410,47,41,2,0,0,0,0,0
49,2401,47,50,2,0,0,0,0,0
50,2393,47,58,2,0,0,0,0,0
51,2383,47,68,2,0,0,0,0,0
52,2376,47,75,2,0,0,0,0,0
53,2361,47,90,2,0,0,0,0,0
54,2358,47,93,2,0,0,0,0,0
55,2344,47,107,2,0,0,0,0,0
56,2340,47,111,2,0,0,0,0,0
57,2324,47,127,2,0,0,0,0,0
58,2316,47,135,2,0,0,0,0,0
59,2305,47,146,2,0,0,0,0,0
60,2295,47,156,2,0,0,0,0,0
61,2285,47,166,2,0,0,0,0,0
62,2275,47,176,2,0,0,0,0,0
63,2264,47,187,2,0,0,0,0,0
64,2251,47,200,2,0,0,0,0,0
65,2243,47,208,2,0,0,0,0,0
66,2231,47,220,2,0,0,0,0,0
67,2221,47,230,2,0,0,0,0,0
68,2213,47,238,2,0,0,0,0,0
69,2203,47,248,2,0,0,0,0,0
70,2195,47,256,2,0,0,0,0,0
71,2180,47,271,2,0,0,0,0,0
72,2174,47,277,2,0,0,0,0,0
73,2161,47,290,2,0,0,0,0,0
74,2152,47,299,2,0,0,0,0,0
75,2143,47,308,2,0,0,0,0,0
76,2136,47,315,2,0,0,0,0,0
77,2131,47,320,2,0,0,0,0,0
78,2115,47,336,2,0,0,0,0,0
79,2110,47,341,2,0,0,0,0,0
80,2101,47,350,2,0,0,0,0,0
81,2098,47,353,2,0,0,0,0,0
82,2086,47,365,2,0,0,0,0,0
83,2080,47,371,2,0,0,0,0,0
84,2075,47,376,2,0,0,0,0,0
85,2068,47,383,2,0,0,0,0,0
86,2056,47,395,2,0,0,0,0,0
87,2049,47,402,2,0,0,0,0,0
88,2045,47,406,2,0,0,0,0,0
89,2034,47,417,2,0,0,0,0,0
90,2030,47,421,2,0,0,0,0,0
91,2016,47,435,2,0,0,0,0,0
92,2013,47,438,2,0,0,0,0,0
93,2006,47,445,2,0,0,0,0,0
94,2000,47,451,2,0,0,0,0,0
95,1988,47,463,2,0,0,0,0,0
96,1985,47,466,2,0,0,0,0,0
97,1974,47,477,2,0,0,0,0,0
98,1969,47,482,2,0,0,0,0,0
99,1966,47,485,2,0,0,0,0,0
100,1964,47,487,2,0,0,0,0,0
101,1963,47,488,2,0,0,0,0,0
102,1960,47,491,2,0,0,0,0,0
103,1954,47,497,2,0,0,0,0,0
104,1943,47,508,2,0,0,0,0,0
105,1946,47,505,2,0,0,0,0,0
106,1943,47,508,2,0,0,0,0,0
107,1936,47,515,2,0,0,0,0,0
108,1934,47,516,2,1,0,0,0,0
109,1926,47,524,2,1,0,0,0,0
110,1920,47,530,2,1,0,0,0,0
111,1919,47,531,2,1,0,0,0,0
112,1916,47,534,2,1,0,0,0,0
113,1912,47,537,2,1,0,1,0,0
114,1910,47,539,2,1,0,1,0,0
115,1904,47,545,2,1,0,1,0,0
116,1902,47,547,2,1,0,1,0,0
117,1897,47,551,2,1,0,2,0,0
118,1892,47,556,2,1,0,2,0,0
119,1889,47,559,2,1,0,2,0,0
120,1883,47,565,2,1,0,2,0,0
121,1881,47,567,2,1,0,2,0,0
122,1879,47,569,2,1,0,2,0,0
123,1879,47,569,2,1,0,2,0,0
124,1876,47,572,2,1,0,2,0,0
125,1870,47,578,2,1,0,2,0,0
126,1865,47,583,2,1,0,2,0,0
127,1867,47,581,2,1,0,2,0,0
128,1863,47,585,2,1,0,2,0,0
129,1861,47,587,2,1,0,2,0,0
130,1855,47,593,2,1,0,2,0,0
131,1858,47,590,2,1,0,2,0,0
132,1860,47,588,2,1,0,2,0,0
133,1852,47,596,2,1,0,2,0,0
134,1851,46,598,2,1,0,2,0,0
135,1849,46,600,2,1,0,2,0,0
136,1846,46,603,2,1,0,2,0,0
137,1849,46,600,2,1,0,2,0,0
138,1849,46,600,2,1,0,2,0,0
139,1850,46,599,2,1,0,2,0,0
140,1844,46,605,2,1,0,2,0,0
141,1839,46,610,2,1,0,2,0,0
142,1839,46,610,2,1,0,2,0,0
143,1838,46,611,2,1,0,2,0,0
144,1837,46,612,2,1,0,2,0,0
145,1835,46,614,2,1,0,2,0,0
146,1829,46,620,2,1,0,2,0,0
147,1829,45,621,2,1,0,2,0,0
148,1830,45,620,2,1,0,2,0,0
149,1830,45,620,2,1,0,2,0,0
150,1831,45,619,2,1,0,2,0,0
151,1832,45,618,2,1,0,2,0,0
152,1835,45,615,2,1,0,2,0,0
153,1833,45,617,2,1,0,2,0,0
154,1832,45,618,2,1,0,2,0,0
155,1829,45,621,2,1,0,2,0,0
156,1828,45,622,2,1,0,2,0,0
157,1827,45,623,2,1,0,2,0,0
158,1828,45,622,2,1,0,2,0,0
159,1829,45,621,2,1,0,2,0,0
160,1826,45,624,2,1,0,2,0,0
161,1821,45,629,2,1,0,2,0,0
162,1820,45,630,2,1,0,2,0,0
163,1825,45,625,2,1,0,2,0,0
164,1829,45,621,2,1,0,2,0,0
165,1826,45,623,2,1,0,3,0,0
166,1825,46,623,2,1,0,3,0,0
167,1821,46,627,2,1,0,3,0,0
168,1821,46,627,2,1,0,3,0,0
169,1820,46,628,2,1,0,3,0,0
170,1821,46,627,2,1,0,3,0,0
171,1820,46,628,2,1,0,3,0,0
172,1818,46,629,2,2,0,3,0,0
173,1818,46,629,2,2,0,3,0,0
174,1820,46,626,2,3,0,3,0,0
175,1821,46,625,2,3,0,3,0,0
176,1825,46,621,2,3,0,3,0,0
177,1827,46,619,2,3,0,3,0,0
178,1823,46,623,2,4,0,2,0,0
179,1824,46,622,2,4,0,2,0,0
180,1823,46,623,2,4,0,2,0,0
181,1823,46,623,2,4,0,2,0,0
182,1819,46,627,2,4,0,2,0,0
183,1818,46,627,2,5,0,2,0,0
184,1818,46,627,2,5,0,2,0,0
185,1819,46,626,2,5,0,2,0,0
186,1815,46,630,2,5,0,2,0,0
187,1813,46,632,2,5,0,2,0,0
188,1816,46,629,2,5,0,2,0,0
189,1815,46,630,2,5,0,2,0,0
190,1813,46,632,2,5,0,2,0,0
191,1815,46,630,2,5,0,2,0,0
192,1823,46,622,2,5,0,2,0,0
193,1828,46,617,2,5,0,2,0,0
194,1825,45,621,2,5,0,2,0,0
195,1821,45,625,2,5,0,2,0,0
196,1819,45,627,2,5,0,2,0,0
197,1817,45,629,2,5,0,2,0,0
198,1820,45,626,2,5,0,2,0,0
199,1821,45,625,2,5,0,2,0,0
200,1825,45,621,2,5,0,2,0,0
201,1828,45,618,2,5,0,2,0,0
202,1825,45,621,2,5,0,2,0,0
203,1827,45,619,2,5,0,2,0,0
204,1827,45,619,2,5,0,2,0,0
205,1829,45,616,3,5,0,2,0,0
206,1829,45,616,3,5,0,2,0,0
207,1825,45,620,3,5,0,2,0,0
208,1826,45,619,3,5,0,2,0,0
209,1833,46,612,2,5,0,2,0,0
210,1835,46,610,2,5,0,2,0,0
211,1833,46,612,2,5,0,2,0,0
212,1835,45,611,2,5,0,2,0,0
213,1840,45,606,2,5,0,2,0,0
